"10000","Aardewijn Pepijn","M","NED","Rowing"
"10001","Aarones Ann Kristin","W","NOR","Football"
"10002","Abanda Patrice","M","CMR","Football"
"10003","Abarca Jose Maria","M","ESP","Water Polo"
"10004","Abay Peter","M","HUN","Fencing"
"10005","Abbagnale Agostino","M","ITA","Rowing"
"10006","Abbagnale Carmine","M","ITA","Rowing"
"10007","Abbagnale Giuseppe","M","ITA","Rowing"
"10008","Abdullaev Mahamadkadyz","M","UZB","Boxing"
"10009","Abdullayev Namik","M","AZE","Wrestling"
"10010","Abdur-Rahim Shareef","M","USA","Basketball"
"10011","Abduvaliev Andrei","M","EUN","Athletics"
"10012","Abebe Addis","M","ETH","Athletics"
"10013","Abera Gezahgne","M","ETH","Athletics"
"10014","Abernathy Brent","M","USA","Baseball"
"10015","Abraham Attila","M","HUN","Canoe"
"10016","Acevedo Santiago Anibal","M","PUR","Boxing"
"10017","Acheampong Joachin Yaw","M","GHA","Football"
"10018","Achik Mohamed","M","MAR","Boxing"
"10019","Adamczuk Dariusz","M","POL","Football"
"10020","Addo Simon","M","GHA","Football"
"10021","Adeniken Olapade","M","NGR","Athletics"
"10022","Adisson Frank","M","FRA","Canoe"
"10023","Adjei Sammi","M","GHA","Football"
"10024","Adkins Derrick","M","USA","Athletics"
"10025","Adomaitis Dainius","M","LTU","Basketball"
"10026","Adrovicz Attila","M","HUN","Kayak"
"10027","Afolabi Bisi","W","NGR","Athletics"
"10028","Agassi Andre","M","USA","Tennis"
"10029","Aguero Taimaris","W","CUB","Volleyball"
"10030","Aguilera Ruiz Jorge Luis","M","CUB","Athletics"
"10031","Ahmann Jorg","M","GER","Volleyball"
"10032","Ahmann-Leighton Christine M.","W","USA","Swimming"
"10033","Aicega Magadalena","W","ARG","Hockey"
"10034","Aihara Yutaka","M","JPN","Gymnastics"
"10035","Aindili Eirini","W","GRE","Gymnastics"
"10036","Ainslie Ben","M","GBR","Sailing"
"10037","Ainsworth Kurt","M","USA","Baseball"
"10038","Aitken Brett","M","AUS","Cycling"
"10039","Ajete Iglesias Omar","M","CUB","Baseball"
"10040","Ajunwa Chioma","W","NGR","Athletics"
"10041","Akabusi Kriss","M","GBR","Athletics"
"10042","Akaishi Kosei","M","JPN","Wrestling"
"10043","Akers Michelle","W","USA","Football"
"10044","Akobia Marina","W","RUS","Water Polo"
"10045","Akoiev Artur","M","EUN","Weightlifting"
"10046","Aksyonov Nikolay","M","RUS","Rowing"
"10047","Al Deehani Fehaid","M","KUW","Shooting"
"10048","Al Eid Khaled","M","KSA","Equestrian"
"10049","Alanovic Vladan","M","CRO","Basketball"
"10050","Albelda David","M","ESP","Football"
"10051","Alechine Maxim","M","RUS","Gymnastics"
"10052","Aleinikov Evgueni","M","RUS","Shooting"
"10053","Alekna Virgilijus","M","LTU","Athletics"
"10054","Alekperov Vugar","M","AZE","Boxing"
"10055","Alexander Buffy","W","CAN","Rowing"
"10056","Alexander Lisa","W","CAN","Synchronized Swimming"
"10057","Alexandra Marinescu","W","ROU","Gymnastics"
"10058","Alexandre Svetlichnyi","M","UKR","Gymnastics"
"10059","Alexei Nemov","M","RUS","Gymnastics"
"10060","Alexei Voropaev","M","RUS","Gymnastics"
"10061","Alifirenko Sergei","M","RUS","Shooting"
"10062","Allalou Mohamed","M","ALG","Boxing"
"10063","Allen Chad","M","USA","Baseball"
"10064","Allen Kate","W","AUS","Hockey"
"10065","Allen Ray","M","USA","Basketball"
"10066","Allen Sandra","W","AUS","Softball"
"10067","Allenby Kate","W","GBR","Modern Pentathlon"
"10068","Almeyda Matias Jesus","M","ARG","Football"
"10069","Alnoudji Nicolas","M","CMR","Football"
"10070","Alozie Glory","W","NGR","Athletics"
"10071","Alshammar Therese","W","SWE","Swimming"
"10072","Alupei Angela","W","ROU","Rowing"
"10073","Alvares Ana Margarida Vieira","W","BRA","Volleyball"
"10074","Alvarez Cristian","M","CHI","Football"
"10075","Amadu Mamood","M","GHA","Football"
"10076","Amanar Simona","W","ROU","Gymnastics"
"10077","Amanda Borden","W","USA","Gymnastics"
"10078","Amankwah Frank","M","GHA","Football"
"10079","Amat Jaime","M","ESP","Hockey"
