"1896","Greece","Athens","04/06/1896","04/15/1896","NULL","NULL","Thirteen countries participated at the 1896 Athens Games with around 300 athletes taking part in the competition. There were 43 events contested which fell into the following categories; athletics (track and field), cycling, fencing, gymnastics, shooting, swimming, tennis, weightlifting and wrestling. Competition was open to any man who wanted to participate. All medals were silver and they were only awarded to the winner of an event."
"1900","France","Paris","05/13/1900","10/27/1900","NULL","NULL","The 1900 Paris Games allowed women to compete and a total of nineteen countries participated at the Games. The Games were held at the same time as the World Exhibition in Paris and were dragged out over five months. As a result the 1900 Paris Games were a flop."
"1904","USA","St. Louis","06/30/1904","11/22/1904","NULL","NULL","Not taking heed of the mistakes made at the previous Olympics, The 1904 St Louis Games were also an unsuccessful event as they were combined with the Louisiana Purchase Exhibition. It was however the first Olympics that gold, silver and bronze medals were awarded to athletes."
"1908","United Kingdom","London","04/26/1908","10/30/1908","NULL","NULL","It was the 1908 London Games that athletes began to use the event as an international platform for protest. Irish athletes refused to compete under the British crown, Finnish athletes protested against the Russian control of Finland and a U.S. athlete refused to salute the English king."
"1912","Sweden","Stockholm","05/04/1912","07/21/1912","NULL","NULL","28 nations competed at the 1912 Stockholm Games where unofficial electrical timing equipment was introduced in athletic events for the first time. Sweden took a moral stand and would not allow the boxing event to take place on their soil. As a result, after these Games, the IOC limited the power of host nations for future Games."
"1920","Belgium","Antwerp","04/19/1920","08/11/1920","NULL","NULL","The 1916 Berlin Games were cancelled due to World War I. The 1920 Games were awarded to Belgium as acknowledgment of their suffering during WWI. It was the Games of the VII Olympiad that saw the unveiling of the Olympic flag and the introduction of the Athletes' Oath. These Games also saw the exclusion of Austria, Bulgaria, Germany, Hungary and Turkey due to the politics of World War I. The new Soviet Union did not attend these Games either."
"1924","France","Paris","05/03/1924","07/26/1924","NULL","NULL","In 1924 the pioneer of the Modern Olympic Games, Frenchman Pierre de Coubertin, retired from the IOC and so the 1924 Games were held in Paris. They were by far the biggest Games of the time with 44 nations sending athletes to compete."
"1928","Netherlands","Amsterdam","07/28/1928","08/12/1928","NULL","NULL","At the 1928 Games the number of participating nations grew by two to 46 and the number of female athletes more than doubled as more sports were introduced for female athletes. This year also saw the introduction of the first women's track races."
"1932","USA","Los Angeles","07/30/1932","08/14/1932","NULL","NULL","The 1932 Los Angles Games were held during the Great Depression so, due to financial hardship, international participation was halved. These Games saw the introduction of a few Olympic traditions; the dais and the raising of the flag from the winning athlete's country, the Olympic village, official automatic timing for track events, the photo-finish camera and finally the Games were completed in 14 days. Previously they had never been finished in less than 79 days."
"1936","Germany","Berlin","08/01/1936","08/16/1936","NULL","NULL","The 1932 Berlin Games remain the most politically clouded Olympics of all time. The Nazi Party used the Games to tell the world its political ideals and the Nazi flag and swastika where displayed everywhere. Their racist propaganda and policies incited international debate and there was talk of boycotting the Games. Amazingly African-American athlete Jesse Owens, who won four gold medals, was the star of the Olympics and his German rival Luz Long publicly acknowledged their friendship in front of the Nazis during the long jump competition."
